Samp_ID ,Samp_Loc,Latitude,Longitude,UID,Depth,Unit,Area,Elev,Soil_Type,SandPD,ClayPD,SiltPD,pH_soil,SMC,LOI,WEP_2024,WEP_2025,WEP100,MM3P,M3P,TP,Ag_tot,Al_tot,As_tot,Ba_tot,Ca_tot,Cd_tot,Co_tot,Cr_tot,Cu_tot,Fe_tot,K_tot,Li_tot,Mg_tot,Mn_tot,Na_tot,Ni_tot,Pb_tot,S_tot,Se_tot,Si_tot,Zn_tot
LF 29 10-20,LF 29,36.108533,-94.5609,29b,20,cm,1,280.4,,12.3,18.9,68.7,,27.71,2.02,2.03,2.11,,5.96,15.8,214.56,0.22,7866.68,4.83,117.71,3402.59,2.44,9.33,15.26,10.87,15492.28,774.85,9.64,545.98,830.04,24.97,16.79,16.15,188.44,,38.43,53.88
LF 30 10-20,LF 30,36.116367,-94.556019,30b,20,cm,4,279.2,,8.6,18.9,72.5,,34.27,2.35,3.24,2.73,,10.16,8.37,424.04,0.18,8832.35,4.65,118.3,4022.16,2.43,9.46,16.48,10.45,14938.9,930.73,12.76,652.55,894.62,30.13,16.86,15.16,251.35,,42.18,55.03
LF 31 10-20,LF 31,36.115859,-94.554721,31b,20,cm,4,279.6,,5.0,17.7,77.4,,33.12,2.21,3.71,3.22,,11.56,10.64,203.97,0.2,9192.48,4.23,111.92,3598.54,2.25,9.27,17.33,10.33,14579.56,1014.96,13.3,628.94,849.23,27.72,16.83,14.71,222.29,,50.37,51.8
LF 32 10-20,LF 32,36.114996,-94.554446,32b,20,cm,4,279.7,,8.6,18.9,72.5,,32.58,2.07,2.28,1.74,,3.75,10.65,159.51,0.2,7156.34,4.35,106.49,2910.69,2.31,9.17,18.02,10.89,13254.54,907.94,13.86,631.99,920.89,61.7,14.21,37.7,155.72,,43.47,54.22
LF 33 10-20,LF 33,36.114927,-94.556083,33b,20,cm,4,278.7,,6.2,20.2,73.6,,28.9,2.14,1.93,1.65,,2.28,15.21,183.59,0.2,5330.38,4.74,109.86,2524.33,2,8.6,13.04,8.91,11476.1,661.13,8.45,473.26,693.44,55.46,11.57,33.29,,,64.66,37.32
LF 34 10-20,LF 34,36.11557,-94.557289,34b,20,cm,4,278.6,,14.9,14.8,70.3,,38.08,2.8,3.26,2.39,,7.72,14.1,237.94,0.27,7427.93,5.31,130.36,4234.28,2.96,10.07,18.13,,15177.89,901.57,14.57,677.19,1284.53,68.08,15.63,42.94,208.65,,63.34,72.21
LF 35 10-20,LF 35,36.114922,-94.558491,35b,20,cm,4,279.3,,1.1,23.6,75.3,,28.58,1.8,3.57,3.08,,8.84,20.33,289.29,0.16,5319.07,4,90.98,2273.28,2.16,8.43,15.25,10.64,12601.56,635.75,8.57,486.1,523.88,57.29,11.45,39.12,,,108.3,44.61
LF 36 10-20,LF 36,36.113821,-94.556968,36b,20,cm,4,279.8,,11.1,13.6,75.3,,31.54,2.31,2.07,1.86,,4.19,11.55,159.86,0.17,5316.36,4.78,101.16,2431.79,2.19,8.82,14.59,9.65,12538.84,660.28,8.74,511.8,755.51,54.86,13.74,37.72,122.85,,72.98,45.29
LF 37 10-20,LF 37,36.112538,-94.557922,37b,20,cm,4,280.7,,2.3,18.6,79.1,,29.28,1.78,2.8,1.85,,3.66,4,175.12,0.19,6161.64,5.16,114.44,2552.35,2.4,9.23,15.84,10.11,13570.72,692.61,9.9,565.92,1001.8,56.85,13.51,42.18,125.26,,60.12,46.07
LF 38 10-20,LF 38,36.112956,-94.559435,38b,20,cm,4,280.6,,32.5,10.0,57.5,,31.38,1.41,2.26,1.98,27.5,2.57,8.1,148.45,0.15,5371.55,4.22,83.94,2088.11,1.95,7.97,11.57,8.7,12104.2,693.42,6.57,504.18,628.17,55.54,10.15,34.46,,,59.79,34.74
LF 39 10-20,LF 39,36.11042,-94.5565,39b,20,cm,4,279.1,,32.4,16.1,51.6,,28.38,1.86,1.9,1.61,,,4,109.73,,2810.75,,65.32,2414.52,,5.85,9.56,5.5,8636.65,487.37,3.46,287.23,577.92,14.35,7.93,20.39,153.61,,22.81,28.01
LF 40 10-20,LF 40 ,36.113048,-94.554764,40b,20,cm,4,279.1,,11.1,12.3,76.5,,,,2.78,2.55,,,6.87,197.07,,3932.11,,100.87,3846.42,1.06,7.78,11.28,8.68,12207.11,636.07,5.16,421.42,865.12,20.37,10.52,28.45,278.51,,38.01,43.12
LF 41 10-20,LF 41,36.111913,-94.555339,41b,20,cm,4,279.4,,16.1,16.1,67.8,,,,1.92,1.54,,,9.08,177.87,,3545.18,,92.86,3236.19,0.96,7.2,10.37,7.72,11188.64,571.67,4.52,373.71,821.44,19.65,9.92,27.24,233.97,,33.89,39.55
LF 42 10-20,LF 42,36.11077,-94.556261,42b,20,cm,4,279.6,,17.4,12.3,70.3,,,,2.96,3.07,,,3.63,190.69,,3754.19,,90.34,3229.98,1.09,7.26,11.59,8.15,11567.85,713.37,4.89,409.23,801.87,15.65,10.43,27.01,264.42,,21.75,41.95
LF 43 10-20,LF 43,36.115517,-94.559602,43c,20,cm,4,279.6,,7.3,16.1,76.6,,27.95,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
LF 44 10-20,LF 44,36.11463,-94.560477,44c,20,cm,4,279.5,,13.7,11.1,75.2,,31.32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
LF 45 10-20,LF 45,36.114159,-94.561656,45c,20,cm,3,279.5,,13.6,8.6,77.8,,30.52,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,
LF 46 10-20,LF 46,36.112329,-94.562195,46c,20,cm,2,279.7,,21.1,17.3,61.6,,28.72,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,
