UID,DEPTH,DEPTH_A,AREA,ELEV,SAND_P,CLAY_P,SILT_P,pH,SMC,LOI,WEP,WEP100,MM3,M3,TP,AG,AL,AS,BA,CA,CD,CO,CR,CU,FE,K,LI,MG,MN,NA,NI,PB,S,SE,SI,ZN,P_sorb,PSI
29c,30,20-30cmbgs,1,280.42,12.31052274,22.69727633,64.99220094,,25.6,1.8,2.9,,12.3,12.7,224.7,0.2,9323.2,4.8,113.5,2982.8,2.3,9,18.4,10.3,14486.1,949.4,14.3,640,723.8,31.4,17.1,15.8,158.6,,63,53.1,283,158.6
30a,10,0-10cmbgs,4,279.25,11.17856902,17.67441628,71.1470147,,34.8,2.6,2.2,,8.9,6.5,268.2,0.2,7148.5,4.8,106.5,4048.1,2.1,8.7,14.3,9.4,12725.9,777.1,9.9,563.5,838.6,25.1,14.7,13.6,251.3,,39.5,43.5,248.8,138.5
30b,20,10-20cmbgs,4,279.25,8.589991879,18.941713,72.46829512,,34.3,2.3,3.2,,10.2,8.4,424,0.2,8832.3,4.6,118.3,4022.2,2.4,9.5,16.5,10.5,14938.9,930.7,12.8,652.6,894.6,30.1,16.9,15.2,251.3,,42.2,55,259.6,144.8
30c,30,20-30cmbgs,4,279.25,9.941392015,18.92029514,71.13831285,,32.2,2.5,3.1,,9.8,13.4,1232.9,0.2,10268.4,5.7,130,3561.7,2.7,10.6,18.5,11.2,17464,1035.7,14.6,708.3,1012.5,32.1,18.7,17,209.9,,42,61.5,242.6,134.9
31a,10,0-10cmbgs,4,279.62,13.6387362,16.43311497,69.92814883,,36.8,2.3,3.1,37.7,10.4,11,183.3,0.2,8665.9,4.3,101.7,3892.4,2,8.4,16.4,9.1,12984.4,1010,12.7,615.9,789,27.1,15,13.4,240.9,,62.1,44.4,246,136.9
31b,20,10-20cmbgs,4,279.62,4.952076677,17.67172524,77.37619808,,33.1,2.2,3.7,,11.6,10.6,204,0.2,9192.5,4.2,111.9,3598.5,2.3,9.3,17.3,10.3,14579.6,1015,13.3,628.9,849.2,27.7,16.8,14.7,222.3,,50.4,51.8,224,124.1
31c,30,20-30cmbgs,4,279.62,7.367621636,18.93617659,73.69620177,,29.8,1.8,4.4,,10.8,14.5,425.3,0.2,10439.1,4.7,117.8,3109,2.4,9.7,19.8,10.5,15594.7,1135.1,15.7,693.6,871.9,31.6,18.1,15.3,167.7,,46.5,55.5,178.8,98.2
32a,10,0-10cmbgs,4,279.72,9.836065574,16.44342263,73.7205118,,35.2,2.2,2.5,,5.7,7.8,168.6,0.2,6347,4.1,94.4,2845.5,2,8.4,16.3,9.2,11620.1,838.1,12,578.9,811.8,58,12.6,33.7,160.5,,51.5,45.9,205.4,113.4
32b,20,10-20cmbgs,4,279.72,8.553657854,18.94924203,72.49710012,,32.6,2.1,2.3,,3.7,10.6,159.5,0.2,7156.3,4.3,106.5,2910.7,2.3,9.2,18,10.9,13254.5,907.9,13.9,632,920.9,61.7,14.2,37.7,155.7,,43.5,54.2,191.6,105.5
32c,30,20-30cmbgs,4,279.72,6.163542114,18.92709821,74.90935967,,32,1.8,2.7,,5.6,10.8,195.9,0.2,6648.2,5.3,105.1,3389.8,2.2,8.8,16.3,10.3,11903.7,815.6,13.2,621.9,950.4,59.6,12.9,36,206.3,,56.7,54.3,225.6,125
33a,10,0-10cmbgs,4,278.68,4.910541496,20.17654477,74.91291374,,34.9,2.6,2.9,,6.6,13.4,172.2,0.2,7432.2,5.2,120.1,2988.5,2.5,9.8,18.1,10.6,14175.9,888.2,14.3,652.5,999.5,62.4,14.4,40.5,145.9,,53.6,55.7,214.9,118.9
33b,20,10-20cmbgs,4,278.68,6.195397134,20.16873846,73.63586441,,28.9,2.1,1.9,,2.3,15.2,183.6,,5330.4,4.7,109.9,2524.3,2,8.6,13,8.9,11476.1,661.1,8.4,473.3,693.4,55.5,11.6,33.3,,,64.7,37.3,240,133.4
33c,30,20-30cmbgs,4,278.68,0,22.67466107,77.32533893,,29.3,1.9,2.3,,2.5,9.5,179,0.2,6287.5,4.2,105.5,4476.5,2.2,8.6,15.4,10.6,12428.7,833.7,12.2,635,941.7,60.6,12.6,36,253.8,,51.9,51.8,239.8,133.3
34a,10,0-10cmbgs,4,278.64,12.36025233,14.83979764,72.79995003,,39.3,3.6,2.8,,10.1,16.3,236.1,0.2,8100.6,6.2,124.7,4535.3,2.7,9.9,19,,14491.2,1000.4,16.4,730.8,1164.4,70.1,15.6,41.3,237.5,,64.9,65.7,168.6,92.5
34b,20,10-20cmbgs,4,278.64,14.89106656,14.83412748,70.27480596,,38.1,2.8,3.3,,7.7,14.1,237.9,0.3,7427.9,5.3,130.4,4234.3,3,10.1,18.1,,15177.9,901.6,14.6,677.2,1284.5,68.1,15.6,42.9,208.7,,63.3,72.2,216,119.5
34c,30,20-30cmbgs,4,278.64,16.18243176,13.5785459,70.23902234,,35.4,2.7,2.9,,6.9,17.1,285.3,0.2,5861.5,4.5,102.7,3470.3,2.2,8.8,15,10.6,12667.3,863.8,10.7,591,921.6,57.1,12.7,35.7,224.9,,62.3,56.1,171.4,94.1
35a,10,0-10cmbgs,4,279.27,14.82640381,13.59578531,71.57781088,,38.1,2.8,3.6,,9.8,16.1,250.4,0.2,5971.6,4.7,103.6,2723.7,2.4,9,16.1,10.6,13358.2,761.9,10.5,569.3,786.7,59.1,13.3,39.5,139.3,,58.2,55.5,197.8,109.1
35b,20,10-20cmbgs,4,279.27,1.142431826,23.57795461,75.27961356,,28.6,1.8,3.6,,8.8,20.3,289.3,0.2,5319.1,4,91,2273.3,2.2,8.4,15.2,10.6,12601.6,635.8,8.6,486.1,523.9,57.3,11.4,39.1,,,108.3,44.6,184,101.2
