DEPTH,AREA,ELEV,SAND_P,CLAY_P,SILT_P,pH,SMC,LOI,WEP,WEP100,MM3,M3,TP,AG,AL,AS,BA,CA,CD,CO,CR,CU,FE,K,LI,MG,MN,NA,NI,PB,S,SE,SI,ZN,P_sorb,PSI
30,2,279.9,32.3,14,53.7,,26,2.4,1.7,,,8.7,162.1,,4205.6,,94.2,3552.3,1,6.6,12.4,8.5,11124.8,677.1,6.2,421.5,679.6,19,10.9,27.2,674,,31.1,40.1,250.2,139.3
10,2,279.8,6.1,17.7,76.3,,28.5,2.3,2,,,7.6,219.1,,4691.4,,91.4,2953.1,1.1,6.6,11.9,7.7,11449.9,691,7.2,456.4,751.6,22.3,10.6,26.6,192.8,,17.9,43.7,180.6,99.3
20,2,279.8,13.6,15.2,71.2,,27.1,1.7,2.3,,,144.6,205.9,,5830.9,4.7,113,3019.1,1.3,8.2,15,9.4,15303,772.6,8.7,530.8,874.3,27.9,13.4,34.9,171.5,,17.2,51.9,222,123
30,2,279.8,7.3,20.2,72.5,,26.5,1.5,2.4,,,9.7,204.9,,5309.1,4.9,103.3,2729.2,1.2,7.8,13.9,8.7,13949.5,711.6,7.8,478.5,769.8,25.8,12.3,32.3,153.1,,28.9,46.2,228.2,126.5
10,2,279.9,22.5,8.8,68.7,,31.8,2.6,1.9,,,27.7,205.8,,4400.9,,91.8,3481,1,7.1,11.6,8.2,11782.2,697.6,6.4,446.2,726.7,22.2,10.6,27.9,276.5,,34.3,41,266.6,148.9
20,2,279.9,12.5,12.5,75,,27.1,2.1,2.2,,10.1,10.7,305.6,0.2,9807.9,5.4,123.4,3502.6,2.5,9.7,18.8,11,15912.9,973.9,15.2,664.3,840.9,37.2,18.1,16.3,185,,70.8,55.6,261.4,145.9
30,2,279.9,15,15,70,,26.5,1.8,2.1,,,12.2,204.5,,5350.2,4.9,112.2,3162.5,1.3,8.6,14.2,9.5,15443,739.5,7.5,503.2,857.2,28.7,12.8,35.6,176.7,,23.6,48.1,234.2,130
10,1,280.4,12.4,17.7,70,,29.5,2.3,2.2,,,9.6,519.7,,4232.6,,102.6,3762,1.2,8,12.1,9.3,12956.6,691.9,5.4,456.7,852.7,17.5,11.8,30.4,283.4,,38.6,47.3,253.2,141.1
20,1,280.4,12.3,19,68.7,,27.7,2,2,,6,15.8,214.6,0.2,7866.7,4.8,117.7,3402.6,2.4,9.3,15.3,10.9,15492.3,774.9,9.6,546,830,25,16.8,16.1,188.4,,38.4,53.9,353,200.7
30,1,280.4,12.3,22.7,65,,25.6,1.8,2.9,,12.3,12.7,224.7,0.2,9323.2,4.8,113.5,2982.8,2.3,9,18.4,10.3,14486.1,949.4,14.3,640,723.8,31.4,17.1,15.8,158.6,,63,53.1,283,158.6
